#HEADER
#TITLES
,,Axial Displacement,Axial Load
#UNITS
,,mm,N
#DATATYPES
Huge,Double,Float,Float
#DATA
337,1.64063,9.16E-4,7.633
338,1.64551,9.16E-4,7.633
339,1.65039,9.16E-4,7.633
340,1.65527,9.16E-4,7.633
341,1.66016,9.16E-4,7.633
342,1.66504,9.16E-4,7.633
343,1.66992,9.16E-4,7.633
344,1.67480,9.16E-4,7.633
345,1.67969,9.16E-4,7.633
346,1.68457,9.16E-4,7.633
347,1.68945,9.16E-4,7.633
348,1.69434,9.16E-4,7.633
349,1.69922,9.16E-4,7.633
350,1.70410,9.16E-4,7.633
351,1.70898,9.16E-4,7.633
352,1.71387,9.16E-4,7.633
353,1.71875,9.16E-4,7.633
354,1.72363,9.16E-4,7.633
355,1.72852,9.16E-4,7.633
356,1.73340,9.16E-4,7.633
357,1.73828,9.16E-4,7.633
358,1.74316,9.16E-4,7.633
359,1.74805,9.16E-4,7.633
360,1.75293,9.16E-4,7.633
361,1.75781,9.16E-4,7.633
362,1.76270,9.16E-4,7.633
363,1.76758,9.16E-4,7.633
364,1.77246,9.16E-4,7.633
365,1.77734,9.16E-4,7.633
366,1.78223,9.16E-4,7.633
367,1.78711,9.16E-4,7.633
368,1.79199,9.16E-4,7.633
369,1.79688,9.16E-4,7.633
370,1.80176,9.16E-4,7.633
371,1.80664,9.16E-4,7.633
372,1.81152,9.16E-4,7.633
373,1.81641,9.16E-4,7.633
374,1.82129,9.16E-4,7.633
375,1.82617,9.16E-4,7.633
376,1.83105,9.16E-4,7.633
377,1.83594,9.16E-4,7.633
378,1.84082,9.16E-4,7.633
379,1.84570,9.16E-4,7.633
380,1.85059,9.16E-4,7.633
381,1.85547,9.16E-4,7.633
382,1.86035,9.16E-4,7.633
383,1.86523,9.16E-4,7.633
384,1.87012,9.16E-4,7.633
385,1.87500,9.16E-4,7.633
386,1.87988,9.16E-4,7.633
387,1.88477,9.16E-4,7.633
388,1.88965,9.16E-4,7.633
389,1.89453,9.16E-4,6.87
390,1.89941,9.16E-4,6.87
391,1.90430,9.16E-4,7.633
392,1.90918,9.16E-4,7.633
393,1.91406,9.16E-4,7.633
394,1.91895,9.16E-4,7.633
395,1.92383,9.16E-4,7.633
396,1.92871,9.16E-4,6.87
397,1.93359,9.16E-4,6.87
398,1.93848,9.16E-4,6.87
399,1.94336,9.16E-4,6.87
400,1.94824,9.16E-4,7.633
401,1.95313,9.16E-4,6.87
402,1.95801,9.16E-4,6.87
403,1.96289,9.16E-4,7.633
404,1.96777,9.16E-4,6.87
405,1.97266,9.16E-4,6.87
406,1.97754,9.16E-4,7.633
407,1.98242,9.16E-4,7.633
408,1.98730,9.16E-4,6.87
409,1.99219,9.16E-4,6.87
410,1.99707,9.16E-4,6.87
411,2.00195,9.16E-4,6.87
412,2.00684,9.16E-4,6.87
413,2.01172,9.16E-4,7.633
414,2.01660,9.16E-4,6.87
415,2.02148,9.16E-4,6.87
416,2.02637,9.16E-4,6.87
417,2.03125,9.16E-4,7.633
418,2.03613,9.16E-4,6.87
419,2.04102,9.16E-4,6.87
420,2.04590,9.16E-4,6.87
421,2.05078,9.16E-4,6.87
422,2.05566,9.16E-4,6.87
423,2.06055,9.16E-4,6.87
424,2.06543,9.16E-4,7.633
425,2.07031,9.16E-4,6.87
426,2.07520,9.16E-4,6.87
427,2.08008,9.16E-4,7.633
428,2.08496,9.16E-4,6.87
429,2.08984,9.16E-4,6.87
430,2.09473,9.16E-4,6.87
431,2.09961,9.16E-4,6.87
